"ID","Source","Target"
1735,George Rolleston,Royal College of Physicians
1739,Hyacinthe Ronay,Academie Hongroise de Pest
1740,Charles Rooke,Geological Society
1741,James Anderson Rose,Royal Society of Literature
1742,x Rosehill,Society of Antiquaries
1745,John George Clunies Ross,"Society for the Encouragement of Arts, Manufactures and Commerce"
1749,E J Routh,Geological Society
1751,William Bridges Row,Institute of Actuaries
1758,Frederick William Rudler,Geological Society
1758,Frederick William Rudler,Anthropological Society of Paris
1758,Frederick William Rudler,British Association
1759,Sophus Ruge,Dresden Geographical Society
1760,H  Hodgson Rugg,Royal College of Surgeons
1760,H  Hodgson Rugg,National Vaccine Establishment
1769,Edward Ryan,Royal Astronomical Society
1769,Edward Ryan,Royal Geographical Society
1769,Edward Ryan,Royal Society
1770,John Ryan,Royal College of Surgeons
1774,William Salmon,Geological Society
1774,William Salmon,Horticultural Society of Ulverstone
1775,David Salomons,Royal Society of Literature
1776,William Severin Salting,Royal Geographical Society
1776,William Severin Salting,Zoological Society
1778,Alfred Sanders,Linnean Society of London
1778,Alfred Sanders,Royal College of Surgeons
1778,Alfred Sanders,Zoological Society
1778,Alfred Sanders,Royal Microscopical Society
1781,W  Walbank Sanderson,Royal Historical Society
1785,William Devonshire Saull,Geological Society
1785,William Devonshire Saull,Royal Astronomical Society
1785,William Devonshire Saull,Society of Antiquaries
1785,William Devonshire Saull,Phrenological Society
1801,Henry R Schoolcraft,Michigan Historical Society
1801,Henry R Schoolcraft,Algic Society
1801,Henry R Schoolcraft,American Ethnological Society
1810,John (2) Scott,Royal College of Physicians
1814,Wentworth Lascelles Scott,Chemical Society
1814,Wentworth Lascelles Scott,"Society for the Encouragement of Arts, Manufactures and Commerce"
1815,John Scouler,Linnean Society of London
1816,J  Eglinton Seaman,Royal Geographical Society
1817,Berthold Seemann,Linnean Society of London
1817,Berthold Seemann,Royal Geographical Society
1819,E J Selwyn,Philological Society
1825,George Sexton,"Society for the Encouragement of Arts, Manufactures and Commerce"
1827,Henry Danby Seymour,"Society for the Encouragement of Arts, Manufactures and Commerce"
1828,Peter Sharp,Royal Geographical Society
1829,Samuel Sharp,Society of Antiquaries
1829,Samuel Sharp,Geological Society
