"id","person_id","occupation_id"
790,830,29
791,830,5
792,831,4
793,831,28
794,831,29
795,832,13
796,832,4
797,833,6
798,834,5
799,834,4
800,835,25
801,835,1
802,836,29
803,836,1
804,836,43
805,839,3
806,839,7
807,842,11
810,845,4
811,847,16
812,848,11
813,849,21
814,850,6
815,853,5
818,855,16
819,856,16
820,857,7
821,858,13
822,858,49
825,862,7
826,863,7
827,863,27
828,863,68
829,864,4
830,868,3
831,869,3
832,869,4
833,870,13
834,872,3
836,874,11
837,876,11
839,879,3
840,880,20
841,880,11
842,880,5
843,882,3
844,883,3
845,886,16
846,887,6
847,888,3
849,890,3
850,892,4
851,893,11
852,895,23
853,896,11
854,897,3
855,898,3
856,899,16
857,900,61
858,902,3
859,903,7
860,904,18
861,904,37
862,905,16
863,907,15
864,908,6
865,909,4
866,910,7
867,910,3
868,910,9
869,916,39
870,917,6
871,918,4
872,919,16
873,920,16
874,920,13
878,922,7
879,923,23
880,924,6
881,926,13
882,927,16
883,928,11
884,929,7
885,930,3
886,931,7
887,932,3
888,935,3
889,937,3
890,940,16
891,941,5
892,942,16
893,943,43
894,945,7
895,948,3
896,949,3
897,949,4
898,951,3
899,953,6
900,953,7
903,955,3
904,955,4
905,958,3
906,958,7
907,959,7
908,959,38
909,960,3
910,961,3
911,963,17
912,965,7
913,965,9
914,966,10
915,967,3
916,968,29
917,968,43
918,969,5
919,970,7
920,970,34
922,973,3
923,975,4
924,976,5
925,977,53
926,980,10
927,980,7
928,982,7
932,984,6
933,984,47
934,985,43
935,986,1
936,988,7
937,990,21
938,992,3
941,996,43
942,1000,11
943,1000,5
944,1000,9
945,1001,3
947,1004,3
948,1005,3
949,1006,3
950,1009,3
951,1010,3
952,1011,7
953,1011,28
954,1011,21
955,1012,44
956,1013,13
957,1014,3
958,1016,16
959,1017,7
960,1017,43
961,1019,3
962,1021,3
965,1024,7
966,1025,7
967,1025,38
968,1027,16
969,1028,7
970,1029,5
971,1030,6
972,1031,3
974,1033,3
975,1034,15
977,1037,11
978,1038,6
979,1039,4
980,1042,3
981,1043,7
982,1044,3
983,1045,3
984,1046,3
985,1046,7
986,1049,4
987,1050,7
988,1050,28
989,1051,4
990,1052,16
993,1054,16
994,1055,21
995,1055,7
996,1056,6
997,1057,11
998,1057,32
999,1057,18
1000,1059,16
1001,1060,16
1002,1063,57
1003,1063,6
1004,1064,6
1005,1065,3
1006,1067,3
1007,1068,7
1008,1068,6
1011,1073,22
1012,1078,12
1015,1080,13
1016,1083,13
1017,1084,6
1018,1086,3
1019,1087,6
1020,1089,4
1021,1090,10
1022,1091,3
1023,1092,9
1024,1092,53
1025,1093,3
1026,1097,19
1027,1097,53
1028,1098,39
1029,1100,16
1030,1102,11
1031,1102,1
1032,1103,6
1033,1105,11
